customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,property_valuation
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,0,1,11.0,060 Morning Avenue,2016,NSW,10.0
2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,0,1,16.0,6 Meadow Vale Court,2153,NSW,10.0
3,Arlin,Dearle,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,0,1,15.0,,,,
4,Talbot,,Male,33,1961-10-03,,IT,Mass Customer,0,0,7.0,0 Holy Cross Court,4211,QLD,9.0
5,Sheila-kathryn,Calton,Female,56,1977-05-13,Senior Editor,,Affluent Customer,0,1,8.0,17979 Del Mar Point,2448,NSW,4.0
6,Curr,Duckhouse,Male,35,1966-09-16,,Retail,High Net Worth,0,1,13.0,9 Oakridge Court,3216,VIC,9.0
7,Fina,Merali,Female,6,1976-02-23,,Financial Services,Affluent Customer,0,1,11.0,4 Delaware Trail,2210,NSW,9.0
8,Rod,Inder,Male,31,1962-03-30,Media Manager I,,Mass Customer,0,0,7.0,49 Londonderry Lane,2650,NSW,4.0
9,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,0,1,8.0,97736 7th Trail,2023,NSW,12.0
10,Fiorenze,Birdall,Female,49,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,0,1,20.0,,,,
11,Uriah,Bisatt,Male,99,1954-04-30,,Property,Mass Customer,0,0,9.0,93405 Ludington Park,3044,VIC,8.0
12,Sawyere,Flattman,Male,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,0,0,8.0,44339 Golden Leaf Alley,4557,QLD,4.0
13,Gabriele,Norcross,Male,38,1955-02-15,Developer I,Financial Services,High Net Worth,0,1,8.0,2 Sutherland Street,3799,VIC,6.0
14,Rayshell,Kitteman,Female,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,0,0,6.0,9 Mcbride Trail,2760,NSW,8.0
15,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,0,0,1.0,9861 New Castle Avenue,2428,NSW,9.0
16,Harlin,Parr,Male,38,1977-02-27,Media Manager IV,,Mass Customer,0,1,18.0,52 Moland Street,3331,VIC,4.0
17,Heath,Faraday,Male,57,1962-03-19,Sales Associate,,Affluent Customer,0,1,15.0,82391 Kensington Lane,3058,VIC,9.0
18,Marjie,Neasham,Female,79,1967-07-06,Professor,,Affluent Customer,0,0,11.0,092 2nd Alley,2135,NSW,12.0
19,Sorcha,Keyson,Female,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,0,0,1.0,59 Spaight Circle,2233,NSW,9.0
20,Basile,Firth,Male,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,0,0,11.0,032 Bartelt Crossing,2444,NSW,8.0
21,Mile,Cammocke,Male,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,0,1,16.0,18 Jenna Center,2650,NSW,7.0
22,Deeanne,Durtnell,Female,79,1962-12-10,,IT,Mass Customer,0,0,11.0,,,,
23,Olav,Polak,Male,43,1995-02-10,,,High Net Worth,0,1,1.0,,,,
24,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,0,1,15.0,3 Cordelia Plaza,2153,NSW,10.0
25,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,0,1,21.0,28 5th Center,4413,QLD,3.0
26,Trixi,Ginnelly,Female,12,1978-06-10,Editor,Financial Services,Mass Customer,0,1,16.0,52 Carey Alley,4740,QLD,5.0
27,Garvin,Klees,Male,37,1978-09-25,Research Nurse,Health,Mass Customer,0,1,12.0,96 Texas Plaza,3218,VIC,7.0
28,Fee,Zellmer,Male,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,0,1,21.0,48 Eagan Avenue,4868,QLD,4.0
29,Mona,Sancraft,Female,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,0,0,19.0,9 Buell Park,4116,QLD,7.0
30,Darrick,Helleckas,Male,18,1961-10-18,,IT,Affluent Customer,0,1,6.0,02663 Buell Parkway,2519,NSW,11.0
31,Star,Praton,Female,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,0,1,14.0,2294 Pleasure Place,2135,NSW,12.0
32,Marion,Vanichkin,Female,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,0,0,4.0,2951 Petterle Place,2756,NSW,9.0
33,Ernst,Hacon,Male,44,1957-06-25,Product Engineer,,Affluent Customer,0,1,11.0,63 Lukken Drive,2170,NSW,9.0
34,Jephthah,Bachmann,U,59,1943-12-21,Legal Assistant,IT,Affluent Customer,0,0,20.0,833 Luster Way,4005,QLD,8.0
35,Margaretha,Strettle,Female,40,1963-09-28,Information Systems Manager,Health,High Net Worth,0,1,16.0,34 Russell Plaza,4127,QLD,6.0
36,Lurette,Stonnell,Female,33,1977-11-09,VP Quality Control,,Affluent Customer,0,0,22.0,78 Del Sol Hill,2535,NSW,8.0
37,Laurie,Dwerryhouse,Female,46,1985-12-22,Social Worker,Health,High Net Worth,0,0,16.0,54 Sage Plaza,4726,QLD,1.0
38,Cordi,Merman,Female,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,0,0,20.0,90 Lawn Parkway,4805,QLD,4.0
39,Hunfredo,Smalley,Male,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,0,0,22.0,38726 Ilene Crossing,2212,NSW,10.0
40,Tomasine,Jerche,Female,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,0,0,14.0,3496 Brown Drive,2207,NSW,8.0
41,Basilius,Coupe,Male,64,1976-04-14,Food Chemist,Health,Mass Customer,0,0,16.0,7188 Cody Way,3350,VIC,9.0
42,Chiquita,Durnall,Female,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,0,0,18.0,1 Claremont Park,3931,VIC,10.0
43,Indira,Belt,Female,38,1983-03-01,Director of Sales,Retail,Mass Customer,0,0,5.0,60 Eagan Circle,4018,QLD,8.0
44,Neron,Verick,Male,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,0,1,17.0,89314 Eagle Crest Center,4670,QLD,2.0
45,Trace,Woodhead,Male,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,0,0,8.0,2028 Lakewood Place,2480,NSW,3.0
46,Kaila,Allin,Female,98,1972-02-26,,,Affluent Customer,0,1,15.0,70875 Hudson Point,3212,VIC,6.0
47,Matthew,Jeaycock,Male,51,1992-10-22,Registered Nurse,Health,Affluent Customer,0,0,2.0,543 Killdeer Park,2322,NSW,4.0
48,Rebbecca,Casone,Female,46,1975-08-15,Biostatistician II,,Mass Customer,0,1,8.0,22125 Ramsey Drive,3198,VIC,9.0
49,Nolly,Ownsworth,Male,63,1994-01-26,VP Quality Control,,Affluent Customer,0,0,1.0,3107 Calypso Terrace,2210,NSW,9.0
50,Whitby,Schapero,Male,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,0,1,16.0,957 Veith Junction,2047,NSW,10.0
51,Fidelio,Dilke,Male,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,0,0,18.0,4853 Gulseth Avenue,4503,QLD,5.0
52,Curran,Bentson,Male,57,1988-06-22,,Financial Services,Mass Customer,0,1,13.0,9 Michigan Terrace,2145,NSW,8.0
53,Agnella,Gocke,Female,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,0,0,16.0,62 Steensland Road,4350,QLD,3.0
54,Loralyn,Wonfor,Female,2,1966-07-24,Sales Associate,Property,Mass Customer,0,1,18.0,6 Homewood Avenue,2142,NSW,8.0
55,Linc,Jillions,Male,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,0,1,7.0,15 Almo Lane,2029,NSW,10.0
56,Reese,Ensor,Male,44,1996-07-04,VP Sales,Property,Mass Customer,0,1,4.0,690 Glacier Hill Circle,2127,NSW,10.0
57,Abba,Masedon,Male,87,1988-06-13,Chief Design Engineer,,Mass Customer,0,1,13.0,89787 Village Green Terrace,4280,QLD,6.0
58,Dalenna,Pinnock,Female,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,0,1,17.0,18 Elgar Park,2166,NSW,9.0
59,Niki,Heathcote,Male,60,2000-02-08,Physical Therapy Assistant,,High Net Worth,0,0,3.0,413 Mayer Street,2046,NSW,9.0
